orderitem_id,order_id,product_id,quantity,unit_price,discount,tax,shipping_cost,total_amount
59,ORD0000059,P00016,3,184.7,0.3,46.54,7.98,442.39
60,ORD0000060,P00027,2,439.8,0,43.98,7.55,931.13
61,ORD0000061,P00037,4,593.02,0.05,405.63,9.18,2668.29
62,ORD0000062,P00025,3,131.36,0,70.93,7.25,472.26
63,ORD0000063,P00004,3,71.26,0.1,23.09,11.28,226.77
64,ORD0000064,P00037,5,107.11,0.05,25.44,12.92,547.13
65,ORD0000065,P00039,5,417.28,0.15,88.67,9.65,1871.76
66,ORD0000066,P00037,2,559.03,0.1,50.31,11.62,1068.18
67,ORD0000067,P00046,4,203.84,0.1,36.69,13.68,784.19
68,ORD0000068,P00008,4,129.9,0.05,59.23,9.13,561.98
69,ORD0000069,P00050,5,105.16,0,26.29,13.29,565.38
70,ORD0000070,P00041,1,82.79,0,6.62,8.76,98.17
71,ORD0000071,P00022,4,433.7,0.15,176.95,10.58,1662.11
72,ORD0000072,P00011,3,137.1,0,32.9,12.88,457.08
73,ORD0000073,P00027,5,582.66,0,233.06,14.07,3160.43
74,ORD0000074,P00039,2,522.56,0,83.61,0.43,1129.16
75,ORD0000075,P00010,2,354.18,0.05,80.75,2.49,756.18
76,ORD0000076,P00010,4,437.47,0,314.98,8.82,2073.68
77,ORD0000077,P00026,1,392.71,0.1,42.41,7.82,403.67
78,ORD0000078,P00011,1,592.91,0.05,28.16,6.83,598.25
79,ORD0000079,P00009,2,76.97,0,7.7,4.91,166.55
80,ORD0000080,P00007,1,534.31,0.1,57.71,14.47,553.06
81,ORD0000081,P00010,2,402.77,0.05,38.26,13.08,816.6
82,ORD0000082,P00030,3,335.1,0.1,72.38,4.24,981.39
83,ORD0000083,P00016,3,258.13,0.05,132.42,7.69,875.78
84,ORD0000084,P00040,1,594.67,0.15,40.44,7.22,553.13
85,ORD0000085,P00036,4,494.13,0.05,225.32,7.18,2110.19
86,ORD0000086,P00017,4,15.47,0.05,10.58,3.91,73.28
87,ORD0000087,P00017,4,28.59,0,20.58,13.02,147.96
88,ORD0000088,P00023,5,456.58,0.15,155.24,7.48,2103.18
89,ORD0000089,P00029,3,324.31,0.2,62.27,4.63,845.24
90,ORD0000090,P00015,5,342.26,0.2,109.52,7.29,1485.85
91,ORD0000091,P00016,5,201.16,0.2,64.37,9.38,878.39
92,ORD0000092,P00045,4,555.99,0.05,253.53,1.26,2367.55
93,ORD0000093,P00022,5,138.56,0.2,27.71,7.71,589.66
94,ORD0000094,P00048,4,409.78,0,295.04,14.29,1948.45
95,ORD0000095,P00045,4,42.31,0.1,12.19,1.28,165.79
96,ORD0000096,P00043,1,170.88,0.2,16.4,7.6,160.7
97,ORD0000097,P00048,3,548.17,0.05,0,2.63,1564.91
98,ORD0000098,P00036,4,260.91,0,83.49,2.86,1129.99
99,ORD0000099,P00028,5,384.56,0.15,130.75,12.62,1777.75
100,ORD0000100,P00023,1,206.2,0,16.5,9.08,231.78
101,ORD0000101,P00018,4,369.47,0.25,199.51,4.56,1312.48
102,ORD0000102,P00014,1,29.37,0,1.47,5.45,36.29
103,ORD0000103,P00045,2,159.82,0.05,15.18,2.55,321.39
104,ORD0000104,P00031,4,548.39,0,109.68,12.26,2315.5
105,ORD0000105,P00033,3,99.05,0.05,33.88,0.71,316.88
106,ORD0000106,P00017,1,113.27,0.05,5.38,0.22,113.21
107,ORD0000107,P00036,3,297.26,0.05,101.66,5.24,954.09
108,ORD0000108,P00034,1,483.5,0,38.68,4.62,526.8
109,ORD0000109,P00005,3,127.42,0.15,16.25,1.88,343.05
110,ORD0000110,P00023,5,520.69,0,130.17,9.98,2743.6
111,ORD0000111,P00029,5,61.48,0,55.33,2.64,365.37
112,ORD0000112,P00022,5,314,0,282.6,8.14,1860.74
113,ORD0000113,P00024,4,189.7,0.25,28.46,13.2,610.76
114,ORD0000114,P00036,2,103.29,0.2,0,0.55,165.81
115,ORD0000115,P00012,3,167.08,0,40.1,7.29,548.63
116,ORD0000116,P00021,4,468.57,0.25,70.29,14.63,1490.63
117,ORD0000117,P00042,2,25.31,0,0,14.69,65.31
118,ORD0000118,P00006,2,590.96,0.05,134.74,5.5,1263.06
119,ORD0000119,P00009,2,433.24,0.05,98.78,10.23,932.17
120,ORD0000120,P00050,4,187.75,0.05,128.42,9.52,851.39
121,ORD0000121,P00017,5,230.99,0.15,117.8,10.69,1110.2
122,ORD0000122,P00008,5,246.13,0.1,0,9.69,1117.28
123,ORD0000123,P00050,1,18.66,0,0.93,5.03,24.62
124,ORD0000124,P00043,2,48.99,0.25,3.67,1.59,78.74
125,ORD0000125,P00021,5,200.05,0.05,114.03,2.34,1066.61
126,ORD0000126,P00008,4,149.47,0,71.75,10.48,680.11
127,ORD0000127,P00027,3,460.51,0.05,157.49,3.17,1473.11
128,ORD0000128,P00050,5,141.31,0.15,72.07,14.56,687.2
129,ORD0000129,P00010,3,204.15,0.1,66.14,10.09,627.44
130,ORD0000130,P00015,4,577.36,0.2,92.38,4.08,1944.01
131,ORD0000131,P00050,2,509.27,0,0,6.71,1025.25
132,ORD0000132,P00028,3,496.12,0,74.42,5.91,1568.69
133,ORD0000133,P00026,3,497.74,0,179.19,7.58,1679.99
134,ORD0000134,P00043,4,384.81,0,184.71,13.11,1737.06
135,ORD0000135,P00003,2,321.46,0.1,69.44,5.41,653.48
136,ORD0000136,P00013,5,498.26,0.05,189.34,3.64,2559.72
137,ORD0000137,P00049,5,211.88,0.1,76.28,9.75,1039.49
138,ORD0000138,P00030,2,333.88,0.05,0,10.61,644.98
139,ORD0000139,P00015,2,522.65,0.05,79.44,13.86,1086.33
140,ORD0000140,P00005,4,67.78,0.05,20.61,11.17,289.34
141,ORD0000141,P00032,5,22.67,0,0,13.16,126.51
142,ORD0000142,P00017,5,544.52,0.25,245.03,2.79,2289.77
143,ORD0000143,P00046,1,431.01,0,0,2.23,433.24
144,ORD0000144,P00049,3,346.56,0.15,44.19,1.85,929.77
145,ORD0000145,P00039,1,87.79,0,15.8,10.92,114.51
146,ORD0000146,P00015,4,596.8,0.05,272.14,2.1,2542.08
147,ORD0000147,P00015,1,194.17,0,9.71,5.33,209.21
148,ORD0000148,P00027,2,42.52,0.05,4.04,11.11,95.94
149,ORD0000149,P00032,3,262.02,0.15,120.27,7.09,795.51
150,ORD0000150,P00009,3,43.8,0,10.51,6.23,148.14
151,ORD0000151,P00015,4,306.01,0.3,42.84,9.24,908.91
152,ORD0000152,P00029,4,251.6,0.1,108.69,13.75,1028.2
153,ORD0000153,P00003,3,431.79,0,64.77,11.24,1371.38
154,ORD0000154,P00023,4,291.13,0.15,49.49,2.52,1041.85
155,ORD0000155,P00025,3,414.46,0.25,111.9,4.69,1049.12
156,ORD0000156,P00026,3,180.87,0,27.13,2.04,571.78
157,ORD0000157,P00047,5,104.18,0.1,0,8.69,477.5
158,ORD0000158,P00045,2,400.69,0.1,57.7,10.68,789.62
159,ORD0000159,P00007,3,479.99,0.25,129.6,8.69,1218.27
160,ORD0000160,P00008,1,247.54,0.05,28.22,2.07,265.45
161,ORD0000161,P00026,3,14.51,0.05,4.96,0.82,47.13
162,ORD0000162,P00018,5,216.33,0.2,0,9.73,875.05
163,ORD0000163,P00039,3,38.53,0,5.78,8.4,129.77
164,ORD0000164,P00016,3,465.66,0.1,62.86,0.89,1321.03
165,ORD0000165,P00015,5,35.27,0,21.16,12.99,210.5
166,ORD0000166,P00038,2,82.5,0.05,18.81,13.79,189.35
167,ORD0000167,P00035,4,298.96,0.1,86.1,3.63,1165.99
168,ORD0000168,P00015,5,232.62,0.05,88.4,9.35,1202.7
169,ORD0000169,P00011,4,493.2,0.2,189.39,3.74,1771.37
170,ORD0000170,P00043,4,497.42,0.05,226.82,12.34,2129.36
171,ORD0000171,P00050,1,154.24,0.05,17.58,9.86,173.97
172,ORD0000172,P00024,3,497.52,0.15,228.36,0.91,1497.95
173,ORD0000173,P00025,4,64.53,0,0,13.67,271.79
174,ORD0000174,P00020,4,331.21,0,66.24,5.9,1396.98
175,ORD0000175,P00015,4,155.87,0.1,28.06,7.79,596.98
176,ORD0000176,P00004,1,598.75,0.1,26.94,3.35,569.17
177,ORD0000177,P00036,5,489.41,0.05,278.96,7.24,2610.9
178,ORD0000178,P00006,4,131.22,0.1,0,14.12,486.51
179,ORD0000179,P00014,2,176.38,0.05,26.81,11.05,372.98
180,ORD0000180,P00001,1,418.7,0.3,23.45,4.48,321.02
181,ORD0000181,P00010,2,531.4,0,127.54,4.49,1194.83
182,ORD0000182,P00050,5,341.7,0.1,276.78,1.7,1816.13
183,ORD0000183,P00016,2,375.82,0.05,35.7,13.55,763.31
184,ORD0000184,P00025,3,99.26,0,23.82,5.19,326.79
185,ORD0000185,P00026,2,572.09,0,91.53,2.64,1238.35
186,ORD0000186,P00042,2,495.32,0,49.53,10.01,1050.18
187,ORD0000187,P00049,2,190.82,0.2,15.27,7.58,328.16
188,ORD0000188,P00004,1,50.92,0.2,3.26,1.3,45.3
189,ORD0000189,P00033,5,129.25,0.15,43.94,6.24,599.49
190,ORD0000190,P00046,3,416.84,0.15,85.04,14.4,1162.38
191,ORD0000191,P00030,5,319.28,0.05,75.83,12.39,1604.8
192,ORD0000192,P00040,2,67.54,0.05,10.27,1.64,140.24
193,ORD0000193,P00012,2,289.23,0.1,0,13.08,533.69
194,ORD0000194,P00019,2,373.58,0.2,47.82,8.74,654.29
195,ORD0000195,P00009,4,359.89,0.05,68.38,13.15,1449.11
196,ORD0000196,P00026,5,449.1,0.1,101.05,7.48,2129.48
197,ORD0000197,P00015,3,270.41,0.1,36.51,3.91,770.53
198,ORD0000198,P00019,2,387.31,0,92.95,7.12,874.69
199,ORD0000199,P00048,3,272.14,0,97.97,11.16,925.55
200,ORD0000200,P00034,1,420.62,0,21.03,5.69,447.34
201,ORD0000201,P00031,4,575.93,0,0,14.5,2318.22
202,ORD0000202,P00019,5,167.97,0,0,8.35,848.2
203,ORD0000203,P00008,5,471.14,0,188.46,4.18,2548.34
204,ORD0000204,P00041,3,461.7,0.05,65.79,13.58,1395.21
205,ORD0000205,P00036,2,303.77,0.25,22.78,11.47,489.9
206,ORD0000206,P00017,4,312.36,0.1,0,2.52,1127.02
207,ORD0000207,P00046,3,59.09,0.15,0,14.12,164.8
208,ORD0000208,P00022,1,266.91,0.05,20.29,7.33,281.18
209,ORD0000209,P00031,3,568.01,0,0,12.94,1716.97
210,ORD0000210,P00049,2,454.72,0.05,69.12,0.31,933.4
211,ORD0000211,P00035,3,189.12,0.2,36.31,3.6,493.8
212,ORD0000212,P00032,5,104.68,0.15,35.59,2.38,482.86
213,ORD0000213,P00049,2,116.03,0.2,14.85,5.54,206.04
214,ORD0000214,P00017,3,83.31,0,19.99,3.48,273.4
215,ORD0000215,P00002,3,556.68,0,83.5,1.06,1754.6
216,ORD0000216,P00016,3,404.76,0,218.57,10.5,1443.35
217,ORD0000217,P00005,5,470.82,0.1,169.5,12.39,2300.58
218,ORD0000218,P00003,5,88.24,0,35.3,13.44,489.94
219,ORD0000219,P00021,3,410.9,0,98.62,0.57,1331.89
220,ORD0000220,P00025,4,485.32,0.15,132.01,8.34,1790.44
221,ORD0000221,P00028,1,49.31,0,2.47,0.69,52.47
222,ORD0000222,P00017,4,389.67,0.05,118.46,3.29,1602.5
223,ORD0000223,P00037,1,450.05,0,22.5,1.2,473.75
224,ORD0000224,P00018,3,137.33,0.1,29.66,13.56,414.01
225,ORD0000225,P00048,2,114.61,0,18.34,0.91,248.47
226,ORD0000226,P00026,5,303.23,0,181.94,9.58,1707.67
227,ORD0000227,P00023,4,377.77,0.1,163.2,11.35,1534.52
228,ORD0000228,P00020,5,165.72,0.05,62.97,4.46,854.6
229,ORD0000229,P00048,5,404.33,0,161.73,4.75,2188.13
230,ORD0000230,P00033,5,493.81,0.3,138.27,14.7,1881.3
231,ORD0000231,P00010,1,590.17,0.15,25.08,3.79,530.51
232,ORD0000232,P00026,2,426.66,0.15,87.04,11.68,824.04
233,ORD0000233,P00005,3,512.13,0,122.91,14.93,1674.23
234,ORD0000234,P00012,4,139.59,0.05,26.52,0.4,557.36
235,ORD0000235,P00034,2,130.46,0.1,18.79,0.38,254
236,ORD0000236,P00030,5,574.24,0,143.56,13.09,3027.85
237,ORD0000237,P00047,1,432.72,0.2,62.31,14.85,423.34
238,ORD0000238,P00021,5,73.55,0.15,0,9.03,321.62
239,ORD0000239,P00022,1,257.51,0.1,41.72,5.25,278.73
240,ORD0000240,P00050,5,338.76,0.05,193.09,12.46,1814.66
241,ORD0000241,P00035,2,139.97,0,22.4,14.9,317.24
242,ORD0000242,P00028,4,202.98,0.1,58.46,0.09,789.28
243,ORD0000243,P00040,4,319.11,0,63.82,4.15,1344.41
244,ORD0000244,P00014,1,370.47,0.15,37.79,0.89,353.58
245,ORD0000245,P00004,5,45.49,0.2,32.75,0.02,214.73
246,ORD0000246,P00014,3,116.12,0,62.7,5.45,416.51
247,ORD0000247,P00013,3,297.86,0.2,85.78,7.14,807.78
248,ORD0000248,P00014,5,89.26,0,35.7,2.92,484.92
249,ORD0000249,P00011,4,73.54,0.2,18.83,11.23,265.39
250,ORD0000250,P00036,4,214.42,0,102.92,9.31,969.91
251,ORD0000251,P00039,4,234.78,0.1,101.42,0.79,947.42
252,ORD0000252,P00014,5,274.55,0.3,48.05,5.27,1014.24
253,ORD0000253,P00002,5,187.41,0.25,35.14,13.38,751.31
254,ORD0000254,P00031,4,230.36,0.15,39.16,2,824.38
255,ORD0000255,P00028,5,259.57,0.05,0,7.79,1240.75
256,ORD0000256,P00025,4,428.27,0.25,154.18,12.7,1451.69
257,ORD0000257,P00011,5,428.5,0,171.4,0.81,2314.71
258,ORD0000258,P00023,5,101.42,0,60.85,0.03,567.98
259,ORD0000259,P00046,2,177.35,0.05,26.96,14.57,378.49
260,ORD0000260,P00002,5,276.27,0,110.51,9.92,1501.78
261,ORD0000261,P00006,2,220.49,0.25,39.69,11.42,381.84
262,ORD0000262,P00015,5,55.8,0.15,11.86,1.6,250.61
263,ORD0000263,P00009,3,520.47,0.05,267,0.93,1751.27
264,ORD0000264,P00050,5,567.72,0.05,323.6,10.53,3030.8
265,ORD0000265,P00041,3,451.53,0.1,146.3,14.32,1379.75
266,ORD0000266,P00036,5,594.86,0,237.94,2.37,3214.61
267,ORD0000267,P00010,2,349.96,0,35,6.25,741.17
268,ORD0000268,P00018,5,492.27,0.1,110.76,7.62,2333.6
269,ORD0000269,P00039,1,94.16,0.05,7.16,0.9,97.51
270,ORD0000270,P00035,1,348.88,0.1,37.68,5.52,357.19
271,ORD0000271,P00032,1,85.61,0,6.85,10.64,103.1
272,ORD0000272,P00010,3,476.94,0.15,60.81,5.78,1282.79
273,ORD0000273,P00007,3,85.54,0,12.83,13.79,283.24
274,ORD0000274,P00007,4,312.92,0.15,127.67,6.21,1197.81
275,ORD0000275,P00049,2,493.21,0.1,44.39,14.27,946.44
276,ORD0000276,P00030,5,486.32,0,121.58,10.96,2564.14
277,ORD0000277,P00026,1,232.43,0.15,9.88,10.44,217.89
278,ORD0000278,P00037,3,171.64,0,41.19,1.74,557.85
279,ORD0000279,P00028,5,436.76,0,174.7,4.11,2362.61
280,ORD0000280,P00044,5,152.56,0,61.02,10.29,834.11
281,ORD0000281,P00009,2,217.88,0.25,26.15,3.94,356.91
282,ORD0000282,P00015,3,349.83,0,52.47,9.06,1111.02
283,ORD0000283,P00026,1,25.8,0.15,1.75,2.16,25.84
284,ORD0000284,P00028,4,235.08,0.05,71.46,13.48,978.24
285,ORD0000285,P00049,1,485.49,0,58.26,13.38,557.13
286,ORD0000286,P00038,5,126.21,0.2,40.39,11.32,556.55
287,ORD0000287,P00001,3,436.44,0.1,94.27,14.18,1286.84
288,ORD0000288,P00007,1,465.84,0.05,22.13,2.26,466.94
289,ORD0000289,P00035,4,41.51,0,19.92,5.9,191.86
290,ORD0000290,P00024,2,57.26,0.2,10.99,1.11,103.72
291,ORD0000291,P00048,3,432.19,0.05,98.54,1.14,1331.42
292,ORD0000292,P00010,1,402.92,0.15,27.4,11.53,381.41
293,ORD0000293,P00014,5,541.68,0,135.42,13.07,2856.89
294,ORD0000294,P00029,5,276.6,0.15,94.04,10.28,1279.87
295,ORD0000295,P00019,3,466.02,0,69.9,12.53,1480.49
296,ORD0000296,P00032,2,464.46,0.05,105.9,13.46,1001.83
297,ORD0000297,P00002,3,331.2,0.05,47.2,0.11,991.23
298,ORD0000298,P00002,4,97.45,0.1,17.54,0.02,368.38
299,ORD0000299,P00035,1,540.72,0.05,25.68,7.52,546.88
300,ORD0000300,P00001,2,308.26,0.15,94.33,9.57,627.94
301,ORD0000301,P00041,2,41.57,0.25,7.48,12.91,82.74
302,ORD0000302,P00003,3,213.75,0.05,48.74,2.76,660.69
303,ORD0000303,P00030,5,113.48,0,28.37,0.78,596.55
304,ORD0000304,P00050,2,518.09,0,0,4.03,1040.21
305,ORD0000305,P00022,1,169.12,0,8.46,13.27,190.85
306,ORD0000306,P00010,4,476.83,0.1,85.83,8.41,1810.83
307,ORD0000307,P00030,1,560.82,0.05,63.93,1.48,598.19
308,ORD0000308,P00031,2,573.93,0.1,185.95,2.97,1221.99
309,ORD0000309,P00049,4,179.25,0.1,32.27,0.94,678.51
310,ORD0000310,P00004,5,400.83,0,100.21,0.32,2104.68
311,ORD0000311,P00002,3,319.07,0.25,57.43,2.13,777.47
312,ORD0000312,P00042,3,582.15,0,87.32,6.71,1840.48
313,ORD0000313,P00026,4,458.05,0.1,82.45,10.2,1741.63
314,ORD0000314,P00049,3,33.87,0.1,10.97,1.29,103.71
315,ORD0000315,P00035,1,528.48,0,0,8.79,537.27
316,ORD0000316,P00005,4,539.52,0,172.65,6.53,2337.26
317,ORD0000317,P00023,4,155.41,0,31.08,6.79,659.51
318,ORD0000318,P00002,2,487.41,0,48.74,7.26,1030.82
319,ORD0000319,P00017,1,595.34,0,47.63,12.41,655.38
320,ORD0000320,P00012,2,274.82,0.05,26.11,11.71,559.98
321,ORD0000321,P00031,4,426.38,0.05,81.01,9.49,1710.74
322,ORD0000322,P00020,1,412.78,0,0,13.23,426.01
323,ORD0000323,P00020,4,153.06,0,48.98,4.38,665.6
324,ORD0000324,P00047,5,234.78,0.1,126.78,13.1,1196.39
325,ORD0000325,P00019,3,120.94,0.2,14.51,5.34,310.11
326,ORD0000326,P00049,2,161.85,0.1,52.44,14.19,357.96
327,ORD0000327,P00043,5,246.53,0,61.63,14.46,1308.74
328,ORD0000328,P00038,1,152.22,0.05,11.57,13.19,169.37
329,ORD0000329,P00033,4,489.79,0.2,282.12,9.88,1859.33
330,ORD0000330,P00018,3,94.03,0.05,13.4,8.62,290.01
331,ORD0000331,P00026,1,295.94,0.05,33.74,5.01,319.89
332,ORD0000332,P00016,1,352.82,0,28.23,6.11,387.16
333,ORD0000333,P00020,1,240.55,0.1,10.82,14.14,241.46
334,ORD0000334,P00026,3,389.23,0,140.12,7.57,1315.38
335,ORD0000335,P00001,3,400.38,0,216.21,8.35,1425.7
336,ORD0000336,P00013,1,501.07,0,25.05,1.54,527.66
337,ORD0000337,P00025,1,296.93,0.05,33.85,5.35,321.28
338,ORD0000338,P00007,2,30.67,0.05,2.91,6.88,68.06
339,ORD0000339,P00007,2,559.24,0,134.22,11.03,1263.73
340,ORD0000340,P00003,3,72.83,0.1,15.73,0.49,212.86
341,ORD0000341,P00035,3,94.51,0.2,11.34,5.78,243.94
342,ORD0000342,P00014,2,487.8,0.05,74.15,14.57,1015.54
343,ORD0000343,P00040,3,203.88,0,48.93,1.71,662.28
344,ORD0000344,P00025,5,39.9,0.1,8.98,9.41,197.94
345,ORD0000345,P00014,1,56.87,0.1,4.09,3.54,58.81
346,ORD0000346,P00037,1,369.08,0,18.45,1.59,389.12
347,ORD0000347,P00001,5,410.33,0,164.13,4.18,2219.96
348,ORD0000348,P00020,2,29.1,0.2,2.33,3.83,52.72
349,ORD0000349,P00037,2,116.97,0,18.72,8.01,260.67
350,ORD0000350,P00009,5,548.98,0,219.59,11.56,2976.05
351,ORD0000351,P00045,5,578.85,0,144.71,12.07,3051.03
352,ORD0000352,P00040,3,366.04,0,87.85,4.55,1190.52
353,ORD0000353,P00018,4,400.22,0,0,5.53,1606.41
354,ORD0000354,P00040,2,597.49,0.25,0,3.29,899.52
355,ORD0000355,P00001,2,57.37,0,5.74,0.48,120.96
356,ORD0000356,P00007,2,327.8,0.1,70.8,13.68,674.52
357,ORD0000357,P00048,5,453.11,0.15,96.29,14.15,2036.16
358,ORD0000358,P00012,2,138.19,0.1,29.85,3.32,281.91
359,ORD0000359,P00038,2,569.77,0.05,86.61,9.56,1178.73
360,ORD0000360,P00031,3,392.25,0.15,80.02,5.31,1085.57
361,ORD0000361,P00048,5,131.34,0.05,49.91,1.64,675.42
362,ORD0000362,P00012,5,530.31,0,212.12,14.86,2878.53
363,ORD0000363,P00034,3,62.04,0,22.33,4.36,212.81
364,ORD0000364,P00047,4,591.4,0,283.87,6.44,2655.91
365,ORD0000365,P00019,5,104.87,0.05,39.85,10.01,547.99
366,ORD0000366,P00048,3,436.37,0.05,99.49,0.63,1343.77
367,ORD0000367,P00013,1,172.84,0,13.83,1.67,188.34
368,ORD0000368,P00016,3,43.51,0,15.66,12.06,158.25
369,ORD0000369,P00025,1,275.24,0.25,10.32,11.03,227.78
370,ORD0000370,P00034,4,575.93,0.15,97.91,14.12,2070.19
371,ORD0000371,P00017,3,156.92,0.15,20.01,10.53,430.69
372,ORD0000372,P00040,5,210.04,0,126.02,0.49,1176.71
373,ORD0000373,P00030,5,591.47,0,0,9.52,2966.87
374,ORD0000374,P00027,1,345.41,0.05,16.41,2.03,346.58
375,ORD0000375,P00032,3,426.35,0.25,47.96,2.41,1009.66
376,ORD0000376,P00049,4,100.2,0.2,38.48,12.41,371.53
377,ORD0000377,P00042,2,317.21,0.2,25.38,2.14,535.06
378,ORD0000378,P00031,3,430.49,0,64.57,7.48,1363.52
379,ORD0000379,P00013,3,47.17,0.3,7.92,0.96,107.94
380,ORD0000380,P00014,2,427.06,0.15,0,2.99,728.99
381,ORD0000381,P00013,4,40.92,0.15,11.13,3.59,153.85
382,ORD0000382,P00019,3,106.51,0,38.34,12.83,370.7
383,ORD0000383,P00012,2,281.89,0,28.19,7.13,599.1
384,ORD0000384,P00033,2,413.76,0.05,39.31,12.8,838.25
385,ORD0000385,P00036,2,175.99,0.05,16.72,3.99,355.09
386,ORD0000386,P00008,4,13.87,0.15,3.77,0.21,51.14
387,ORD0000387,P00033,3,555.21,0.2,106.6,5.69,1444.79
388,ORD0000388,P00042,4,172.46,0.25,41.39,8.42,567.19
389,ORD0000389,P00049,4,291.26,0,93.2,3.56,1261.8
390,ORD0000390,P00023,5,44.09,0,26.45,5.14,252.04
391,ORD0000391,P00039,3,412.81,0.3,69.35,6.62,942.87
392,ORD0000392,P00037,5,477.24,0,286.34,10.06,2682.6
393,ORD0000393,P00016,3,278.87,0,66.93,9.79,913.33
394,ORD0000394,P00041,1,99.56,0.05,7.57,7.42,109.57
395,ORD0000395,P00050,3,77.65,0.25,8.74,9.43,192.88
396,ORD0000396,P00043,3,567.89,0,85.18,13.57,1802.42
397,ORD0000397,P00018,2,436.96,0.25,52.44,9.28,717.16
398,ORD0000398,P00041,3,236.65,0,56.8,3.2,769.95
399,ORD0000399,P00010,4,124.35,0,24.87,12.79,535.06
400,ORD0000400,P00049,4,388.55,0,77.71,1.15,1633.06
401,ORD0000401,P00033,2,409.25,0.05,0,13.68,791.25
402,ORD0000402,P00017,2,466.29,0.3,52.22,7.92,712.95
403,ORD0000403,P00050,3,321.01,0,115.56,9.72,1088.31
