order_id,order_date,customer_id,seller_id,location_id,paymentmethod_id,orderstatus_id
ORD0000042,5/25/2021,CUST046853,SELL01983,30,1,1
ORD0000043,9/1/2024,CUST020850,SELL00959,31,2,1
ORD0000044,2/8/2024,CUST039744,SELL00076,30,4,2
ORD0000045,11/30/2021,CUST017434,SELL00898,10,1,1
ORD0000046,9/2/2022,CUST045893,SELL00181,13,1,1
ORD0000047,12/11/2024,CUST033696,SELL01805,3,5,1
ORD0000048,7/8/2020,CUST032008,SELL00438,32,1,1
ORD0000049,8/15/2022,CUST011785,SELL01660,33,1,1
ORD0000050,11/17/2021,CUST001846,SELL01908,34,6,1
ORD0000051,8/15/2022,CUST048348,SELL00078,35,3,1
ORD0000052,7/16/2021,CUST027076,SELL00659,36,1,1
ORD0000053,5/9/2024,CUST012995,SELL00962,14,1,4
ORD0000054,6/21/2023,CUST030633,SELL01002,4,2,1
ORD0000055,4/11/2022,CUST013482,SELL01805,29,5,1
ORD0000056,3/8/2024,CUST030091,SELL01113,29,4,3
ORD0000057,2/28/2023,CUST031856,SELL00723,37,4,4
ORD0000058,2/17/2024,CUST040925,SELL01920,38,5,1
ORD0000059,10/8/2021,CUST031615,SELL00280,21,1,1
ORD0000060,1/21/2020,CUST018312,SELL00446,39,2,1
ORD0000061,4/20/2022,CUST017070,SELL00106,40,5,4
ORD0000062,6/15/2020,CUST026591,SELL00247,41,5,1
ORD0000063,7/21/2023,CUST006724,SELL00011,2,4,5
ORD0000064,1/22/2021,CUST026258,SELL01006,29,5,1
ORD0000065,8/23/2021,CUST000139,SELL01242,42,2,5
ORD0000066,11/11/2020,CUST038107,SELL01704,15,2,1
ORD0000067,1/14/2020,CUST015763,SELL01548,4,6,1
ORD0000068,8/29/2020,CUST041458,SELL00532,15,6,1
ORD0000069,2/15/2022,CUST033817,SELL01811,36,5,1
ORD0000070,10/1/2023,CUST041366,SELL01501,25,1,1
ORD0000071,7/18/2021,CUST005372,SELL01168,37,1,1
ORD0000072,6/16/2022,CUST018135,SELL01780,16,2,4
ORD0000073,9/25/2023,CUST043454,SELL00749,21,5,4
ORD0000074,4/1/2020,CUST007050,SELL00221,15,4,4
ORD0000075,10/22/2023,CUST027444,SELL01964,10,4,4
ORD0000076,8/13/2022,CUST042061,SELL01119,43,4,4
ORD0000077,1/18/2024,CUST016864,SELL00376,37,1,1
ORD0000078,12/22/2023,CUST028956,SELL00112,21,3,1
ORD0000079,5/23/2021,CUST001710,SELL00917,7,1,1
ORD0000080,2/14/2022,CUST023701,SELL01174,44,2,4
ORD0000081,2/4/2020,CUST005263,SELL00371,40,5,1
ORD0000082,7/24/2020,CUST014979,SELL00077,29,2,4
ORD0000083,1/9/2023,CUST038225,SELL01872,3,5,1
ORD0000084,5/4/2024,CUST028769,SELL00198,2,1,1
ORD0000085,11/12/2023,CUST049605,SELL00087,3,4,1
ORD0000086,10/22/2022,CUST015624,SELL01618,10,4,4
ORD0000087,10/18/2022,CUST026490,SELL01735,6,4,1
ORD0000088,11/14/2023,CUST001370,SELL01951,43,2,1
ORD0000089,7/19/2021,CUST043394,SELL00041,25,1,1
ORD0000090,2/3/2023,CUST039077,SELL00271,2,4,3
ORD0000091,11/30/2024,CUST007564,SELL00155,25,5,1
ORD0000092,2/9/2024,CUST033299,SELL01704,21,6,2
ORD0000093,12/3/2021,CUST039707,SELL00861,23,5,4
ORD0000094,2/5/2021,CUST043458,SELL00572,21,5,4
ORD0000095,12/30/2021,CUST001552,SELL01732,29,2,1
ORD0000096,4/28/2024,CUST039426,SELL01461,45,4,1
ORD0000097,6/10/2020,CUST049557,SELL00108,2,5,1
ORD0000098,7/20/2020,CUST033386,SELL01544,23,5,5
ORD0000099,9/22/2022,CUST018449,SELL00992,29,5,1
ORD0000100,9/26/2020,CUST012492,SELL00337,46,4,1
ORD0000101,3/26/2022,CUST015367,SELL01672,17,4,1
ORD0000102,7/18/2023,CUST009929,SELL00848,13,4,1
ORD0000103,3/31/2021,CUST030254,SELL00127,19,1,1
ORD0000104,1/25/2024,CUST041994,SELL00607,15,5,1
ORD0000105,10/16/2024,CUST034561,SELL01742,3,4,1
ORD0000106,6/29/2023,CUST028297,SELL00553,3,5,1
ORD0000107,10/13/2022,CUST002237,SELL00371,15,4,3
ORD0000108,9/21/2024,CUST007600,SELL01189,6,1,1
ORD0000109,10/22/2020,CUST010526,SELL01545,21,1,1
ORD0000110,10/14/2024,CUST024904,SELL00617,46,6,1
ORD0000111,12/20/2021,CUST033463,SELL01848,30,2,1
ORD0000112,11/7/2024,CUST015883,SELL01322,23,1,1
ORD0000113,12/3/2020,CUST035697,SELL00915,3,2,2
ORD0000114,5/28/2022,CUST010676,SELL01203,30,2,4
ORD0000115,12/12/2022,CUST037855,SELL01649,6,2,1
ORD0000116,3/2/2022,CUST013803,SELL01188,6,1,4
ORD0000117,8/4/2020,CUST041291,SELL01963,2,1,4
ORD0000118,2/2/2022,CUST025351,SELL00011,25,4,1
ORD0000119,7/6/2020,CUST023478,SELL01044,17,3,4
ORD0000120,1/14/2021,CUST029783,SELL01527,23,4,1
ORD0000121,5/7/2021,CUST001056,SELL01639,36,5,1
ORD0000122,11/30/2022,CUST026942,SELL00632,47,2,4
ORD0000123,3/26/2023,CUST027791,SELL00745,23,2,1
ORD0000124,1/15/2020,CUST019410,SELL00146,37,2,1
ORD0000125,3/5/2020,CUST009308,SELL00770,48,4,1
ORD0000126,6/4/2021,CUST004285,SELL01530,10,5,1
ORD0000127,9/29/2023,CUST037966,SELL01372,45,4,1
ORD0000128,2/26/2023,CUST025421,SELL01574,25,1,1
ORD0000129,10/9/2021,CUST039352,SELL00583,21,4,1
ORD0000130,2/4/2024,CUST032886,SELL00736,10,1,1
ORD0000131,12/22/2022,CUST014360,SELL01332,6,6,4
ORD0000132,3/8/2023,CUST007708,SELL00248,12,6,5
ORD0000133,3/2/2024,CUST013067,SELL01907,14,4,1
ORD0000134,8/15/2021,CUST046835,SELL01180,19,4,2
ORD0000135,1/26/2021,CUST011228,SELL00715,42,3,1
ORD0000136,8/25/2024,CUST046806,SELL00709,49,5,4
ORD0000137,2/22/2021,CUST014033,SELL00278,17,5,1
ORD0000138,10/15/2020,CUST040569,SELL01341,39,4,4
ORD0000139,1/13/2021,CUST041172,SELL00699,2,4,1
ORD0000140,12/1/2024,CUST001601,SELL01558,36,3,1
ORD0000141,2/22/2024,CUST046508,SELL00940,14,1,1
ORD0000142,8/18/2020,CUST027712,SELL00796,30,3,3
ORD0000143,10/14/2022,CUST029705,SELL00143,10,2,4
ORD0000144,2/10/2020,CUST008224,SELL01971,17,4,1
ORD0000145,11/17/2022,CUST046362,SELL00338,50,4,1
ORD0000146,5/14/2020,CUST005950,SELL00864,1,4,1
ORD0000147,7/19/2020,CUST037485,SELL01097,44,4,1
ORD0000148,2/18/2022,CUST027818,SELL00776,29,4,1
ORD0000149,7/18/2022,CUST048304,SELL00433,29,4,5
ORD0000150,11/22/2022,CUST033670,SELL00027,36,3,4
ORD0000151,12/7/2022,CUST038774,SELL00672,51,1,1
ORD0000152,5/17/2021,CUST026880,SELL00229,50,6,1
ORD0000153,2/10/2021,CUST044830,SELL01889,36,4,1
ORD0000154,5/16/2024,CUST040087,SELL01455,52,1,1
ORD0000155,10/17/2024,CUST026727,SELL00945,17,2,1
ORD0000156,3/15/2022,CUST011225,SELL00850,14,1,1
ORD0000157,4/8/2020,CUST031885,SELL01363,52,4,4
ORD0000158,11/14/2021,CUST016025,SELL01573,53,4,3
ORD0000159,12/26/2021,CUST036113,SELL01598,3,5,1
ORD0000160,4/19/2024,CUST043628,SELL00412,29,2,1
ORD0000161,8/18/2022,CUST020507,SELL00708,14,4,1
ORD0000162,10/28/2024,CUST012422,SELL01169,30,4,1
ORD0000163,9/4/2021,CUST009807,SELL00551,30,1,1
ORD0000164,1/25/2024,CUST048496,SELL00141,21,2,5
ORD0000165,10/4/2021,CUST029400,SELL01482,17,1,1
ORD0000166,11/27/2024,CUST004811,SELL00910,23,4,1
ORD0000167,10/25/2022,CUST008669,SELL00243,16,2,1
ORD0000168,5/26/2023,CUST035784,SELL01837,3,4,4
ORD0000169,5/17/2021,CUST027512,SELL00878,54,6,1
ORD0000170,2/5/2022,CUST023754,SELL01838,55,1,1
ORD0000171,2/1/2021,CUST011579,SELL01005,25,5,1
ORD0000172,5/20/2022,CUST003082,SELL00319,3,4,1
ORD0000173,3/5/2022,CUST040193,SELL00210,13,2,1
ORD0000174,1/27/2021,CUST014061,SELL00101,37,6,1
ORD0000175,7/25/2020,CUST028212,SELL01555,6,4,1
ORD0000176,11/4/2022,CUST010967,SELL00727,56,4,5
ORD0000177,4/26/2024,CUST022674,SELL00062,29,2,1
ORD0000178,6/10/2022,CUST048983,SELL00530,4,1,1
ORD0000179,1/24/2024,CUST016133,SELL00395,6,6,1
ORD0000180,9/10/2024,CUST044928,SELL00811,16,5,1
ORD0000181,5/17/2024,CUST024560,SELL00296,21,3,1
ORD0000182,5/13/2022,CUST019814,SELL01602,13,2,1
ORD0000183,1/12/2022,CUST015222,SELL00166,57,2,5
ORD0000184,6/18/2023,CUST015733,SELL00041,2,5,4
ORD0000185,7/17/2021,CUST023655,SELL00773,29,4,4
ORD0000186,10/17/2022,CUST021204,SELL01469,18,4,3
ORD0000187,4/5/2020,CUST016221,SELL00701,38,1,1
ORD0000188,10/23/2024,CUST036912,SELL01658,17,6,1
ORD0000189,4/29/2021,CUST043111,SELL00429,45,4,4
ORD0000190,12/1/2023,CUST034016,SELL01532,18,1,1
ORD0000191,8/18/2020,CUST040748,SELL00430,19,2,1
ORD0000192,1/18/2022,CUST004207,SELL00302,5,2,1
ORD0000193,8/5/2024,CUST041282,SELL00733,15,2,1
ORD0000194,4/9/2023,CUST044672,SELL00785,37,4,1
ORD0000195,6/24/2021,CUST004859,SELL00999,9,4,1
ORD0000196,11/25/2022,CUST007154,SELL01298,19,6,1
ORD0000197,6/8/2021,CUST035993,SELL00557,10,2,1
ORD0000198,3/29/2023,CUST027565,SELL01488,23,1,1
ORD0000199,9/18/2024,CUST010007,SELL00096,58,5,1
ORD0000200,6/20/2023,CUST022505,SELL01489,21,2,4
ORD0000201,1/14/2023,CUST007081,SELL00230,59,4,1
ORD0000202,12/24/2024,CUST042401,SELL00039,21,5,1
ORD0000203,7/31/2021,CUST040825,SELL00154,60,2,1
ORD0000204,11/12/2021,CUST022812,SELL01177,61,4,5
ORD0000205,7/10/2021,CUST029448,SELL00122,62,5,1
ORD0000206,5/16/2024,CUST025313,SELL01958,36,4,1
ORD0000207,10/9/2022,CUST029438,SELL00705,63,6,1
ORD0000208,10/7/2021,CUST001181,SELL01609,46,2,1
ORD0000209,3/6/2022,CUST017264,SELL01838,64,4,1
ORD0000210,11/17/2022,CUST039608,SELL01140,42,6,4
ORD0000211,7/1/2024,CUST019237,SELL00479,50,1,1
ORD0000212,4/28/2024,CUST035731,SELL00157,9,5,1
ORD0000213,9/25/2023,CUST012280,SELL01375,65,3,1
ORD0000214,12/26/2024,CUST003507,SELL00159,2,5,1
ORD0000215,9/16/2023,CUST023893,SELL01801,66,1,1
ORD0000216,7/21/2024,CUST008440,SELL00813,16,1,1
ORD0000217,3/9/2024,CUST019363,SELL01565,25,1,1
ORD0000218,10/3/2023,CUST034266,SELL01516,27,1,1
ORD0000219,2/5/2024,CUST026742,SELL01863,31,4,1
ORD0000220,6/8/2023,CUST020572,SELL01791,21,2,1
ORD0000221,7/8/2020,CUST012246,SELL00297,45,1,1
ORD0000222,6/2/2023,CUST021328,SELL00328,19,4,1
ORD0000223,11/9/2023,CUST017932,SELL00753,3,6,4
ORD0000224,11/1/2023,CUST030236,SELL00080,67,4,1
ORD0000225,7/30/2023,CUST018375,SELL01913,18,6,1
ORD0000226,9/24/2021,CUST031704,SELL00376,23,4,1
ORD0000227,9/19/2021,CUST003147,SELL00628,9,2,1
ORD0000228,8/30/2022,CUST014415,SELL01713,63,4,1
ORD0000229,11/3/2024,CUST001747,SELL00704,56,4,4
ORD0000230,7/6/2023,CUST031415,SELL00905,25,2,3
ORD0000231,10/14/2023,CUST048207,SELL01023,25,4,4
ORD0000232,12/10/2021,CUST019145,SELL00212,16,2,1
ORD0000233,1/19/2024,CUST028877,SELL00809,29,6,1
ORD0000234,12/5/2023,CUST006962,SELL00871,2,1,4
ORD0000235,10/10/2021,CUST037405,SELL00685,25,1,1
ORD0000236,11/13/2020,CUST025402,SELL00618,29,4,4
ORD0000237,8/27/2024,CUST029978,SELL00273,42,3,1
ORD0000238,6/2/2023,CUST049175,SELL00238,15,1,1
ORD0000239,6/11/2023,CUST028805,SELL01434,6,4,1
ORD0000240,11/14/2021,CUST024635,SELL00311,61,5,1
ORD0000241,10/25/2021,CUST034448,SELL00709,68,5,1
ORD0000242,10/29/2023,CUST040551,SELL01881,69,3,1
ORD0000243,8/22/2024,CUST034398,SELL01539,30,3,1
ORD0000244,6/19/2024,CUST042901,SELL01937,36,2,1
ORD0000245,2/4/2024,CUST029445,SELL00878,70,1,1
ORD0000246,6/10/2023,CUST039354,SELL01817,70,4,1
ORD0000247,9/11/2024,CUST047386,SELL01554,18,4,4
ORD0000248,2/10/2023,CUST014192,SELL01901,23,1,1
ORD0000249,2/29/2024,CUST027774,SELL01387,45,1,1
ORD0000250,3/17/2021,CUST045022,SELL00871,17,4,1
ORD0000251,7/17/2021,CUST015291,SELL00536,29,4,1
ORD0000252,7/15/2023,CUST019542,SELL00946,9,1,3
ORD0000253,3/13/2024,CUST005818,SELL00810,47,6,4
ORD0000254,11/10/2023,CUST017005,SELL01760,63,2,1
ORD0000255,11/11/2023,CUST004652,SELL00205,21,5,3
ORD0000256,2/10/2023,CUST000716,SELL00035,1,3,1
ORD0000257,6/24/2024,CUST008298,SELL00561,45,2,1
ORD0000258,7/6/2024,CUST047323,SELL00073,34,1,1
ORD0000259,8/9/2022,CUST024173,SELL01449,23,1,1
ORD0000260,1/9/2023,CUST039468,SELL00800,18,6,1
ORD0000261,11/29/2021,CUST017113,SELL00589,10,1,1
ORD0000262,4/22/2020,CUST012593,SELL00414,17,4,1
ORD0000263,1/2/2020,CUST043099,SELL01206,46,1,1
ORD0000264,10/3/2021,CUST002544,SELL00789,2,4,1
ORD0000265,8/7/2020,CUST003153,SELL01729,36,2,1
ORD0000266,5/8/2024,CUST049849,SELL00669,14,1,1
ORD0000267,5/4/2022,CUST020614,SELL01843,16,3,1
ORD0000268,10/25/2024,CUST008599,SELL01396,33,5,1
ORD0000269,6/2/2023,CUST031058,SELL01933,16,4,1
ORD0000270,1/19/2021,CUST032555,SELL01560,10,4,1
ORD0000271,11/27/2023,CUST023550,SELL01202,14,5,1
ORD0000272,7/19/2024,CUST042540,SELL01156,65,5,4
ORD0000273,2/27/2023,CUST044529,SELL00976,17,3,1
ORD0000274,12/12/2022,CUST037954,SELL00910,1,4,1
ORD0000275,9/3/2024,CUST035117,SELL00331,6,6,1
ORD0000276,12/30/2021,CUST046611,SELL00032,18,1,1
ORD0000277,8/22/2024,CUST044280,SELL01776,36,4,1
ORD0000278,9/29/2024,CUST033284,SELL00284,17,1,1
ORD0000279,12/10/2023,CUST036194,SELL01659,59,3,1
ORD0000280,9/3/2020,CUST023648,SELL01792,66,4,4
ORD0000281,4/15/2022,CUST001746,SELL00187,44,6,1
ORD0000282,1/2/2024,CUST034953,SELL01522,71,2,1
ORD0000283,7/21/2020,CUST036197,SELL00883,72,5,4
ORD0000284,4/22/2023,CUST001072,SELL00294,37,2,1
ORD0000285,5/2/2020,CUST001188,SELL01442,38,4,1
ORD0000286,2/4/2021,CUST016884,SELL00054,29,4,1
ORD0000287,2/5/2022,CUST043203,SELL00326,9,3,1
ORD0000288,10/20/2020,CUST012562,SELL01435,21,1,1
ORD0000289,10/6/2020,CUST030504,SELL00977,16,5,4
ORD0000290,6/2/2022,CUST002550,SELL00039,9,4,1
ORD0000291,6/21/2024,CUST006082,SELL01802,36,6,5
ORD0000292,7/16/2020,CUST007148,SELL00782,36,6,3
ORD0000293,9/8/2022,CUST014657,SELL01904,73,5,1
ORD0000294,3/14/2024,CUST049112,SELL01356,8,2,1
ORD0000295,1/21/2022,CUST029592,SELL01890,43,1,1
ORD0000296,5/23/2020,CUST014517,SELL00338,19,5,1
ORD0000297,8/31/2021,CUST005746,SELL00199,19,1,1
ORD0000298,5/9/2023,CUST027050,SELL01301,36,2,1
ORD0000299,2/21/2023,CUST017205,SELL01985,73,2,1
ORD0000300,7/5/2020,CUST009192,SELL01005,45,2,1
ORD0000301,9/11/2023,CUST008766,SELL01248,13,2,1
ORD0000302,4/8/2021,CUST001699,SELL01222,9,5,1
ORD0000303,10/4/2023,CUST019427,SELL00138,29,1,2
ORD0000304,11/29/2024,CUST003257,SELL00084,29,2,4
ORD0000305,10/21/2021,CUST002188,SELL01336,26,4,4
ORD0000306,2/2/2022,CUST001779,SELL01798,68,3,1
ORD0000307,8/12/2022,CUST032817,SELL01401,13,6,1
ORD0000308,2/6/2021,CUST034263,SELL01501,25,2,2
ORD0000309,10/1/2023,CUST047601,SELL01467,10,5,5
ORD0000310,3/14/2024,CUST042134,SELL01253,37,5,4
ORD0000311,5/26/2020,CUST013914,SELL00458,25,4,1
ORD0000312,3/17/2023,CUST039236,SELL01738,1,1,3
ORD0000313,5/13/2022,CUST025927,SELL01590,71,5,4
ORD0000314,9/30/2024,CUST000351,SELL01318,42,2,2
ORD0000315,5/3/2021,CUST034695,SELL00205,15,4,1
ORD0000316,7/17/2022,CUST034686,SELL00156,2,2,1
ORD0000317,7/21/2024,CUST028950,SELL00695,18,1,4
ORD0000318,7/4/2021,CUST012442,SELL01588,3,2,1
ORD0000319,12/3/2020,CUST038779,SELL00807,21,2,1
ORD0000320,5/21/2022,CUST012713,SELL00400,23,5,1
ORD0000321,10/2/2021,CUST020344,SELL00463,36,3,1
ORD0000322,12/7/2024,CUST005270,SELL01391,14,6,1
ORD0000323,4/17/2021,CUST023625,SELL01411,45,6,4
ORD0000324,5/30/2020,CUST010542,SELL01480,36,1,1
ORD0000325,12/9/2023,CUST021562,SELL00844,37,2,1
ORD0000326,8/14/2023,CUST031261,SELL01839,15,5,1
ORD0000327,6/22/2024,CUST024288,SELL01954,30,5,1
ORD0000328,9/19/2020,CUST015925,SELL01021,59,4,1
ORD0000329,11/22/2024,CUST011154,SELL01122,63,1,1
ORD0000330,5/23/2020,CUST023840,SELL01015,36,4,1
ORD0000331,12/11/2020,CUST004105,SELL00422,29,2,1
ORD0000332,9/15/2021,CUST034270,SELL00066,17,2,1
ORD0000333,10/13/2022,CUST031200,SELL01126,15,4,2
ORD0000334,5/14/2024,CUST002824,SELL01273,15,4,1
ORD0000335,5/30/2022,CUST046488,SELL00834,71,5,1
ORD0000336,1/2/2020,CUST000068,SELL01958,23,2,1
ORD0000337,6/15/2022,CUST025908,SELL01382,10,2,1
ORD0000338,8/20/2023,CUST012590,SELL01384,2,4,4
ORD0000339,9/10/2020,CUST043281,SELL01472,25,1,1
ORD0000340,8/2/2024,CUST023061,SELL00011,13,4,1
ORD0000341,3/28/2021,CUST024329,SELL00335,18,1,1
ORD0000342,11/26/2022,CUST049916,SELL01794,29,2,1
ORD0000343,3/29/2023,CUST005573,SELL00906,15,5,1
ORD0000344,10/11/2022,CUST041438,SELL01014,14,2,3
ORD0000345,1/9/2020,CUST027366,SELL00220,74,6,1
ORD0000346,6/10/2023,CUST013256,SELL00751,37,5,1
ORD0000347,1/27/2023,CUST037808,SELL00465,17,1,1
ORD0000348,8/9/2024,CUST012334,SELL00357,23,2,1
ORD0000349,3/26/2022,CUST046689,SELL00183,8,5,1
ORD0000350,7/26/2020,CUST017408,SELL00578,2,2,1
ORD0000351,2/28/2023,CUST014960,SELL00605,29,4,1
ORD0000352,2/7/2021,CUST010085,SELL01785,64,1,4
ORD0000353,5/31/2020,CUST021961,SELL01168,21,5,4
ORD0000354,2/23/2020,CUST029119,SELL01630,44,5,1
ORD0000355,2/17/2023,CUST037507,SELL01227,15,3,4
ORD0000356,8/23/2024,CUST006815,SELL00898,50,5,1
ORD0000357,9/19/2021,CUST039527,SELL01918,13,1,1
ORD0000358,8/9/2021,CUST021127,SELL01633,19,2,1
ORD0000359,7/6/2024,CUST034300,SELL00010,9,1,3
ORD0000360,12/14/2023,CUST021084,SELL01248,18,4,1
ORD0000361,12/16/2023,CUST005859,SELL01019,2,2,3
ORD0000362,4/13/2020,CUST049807,SELL01330,75,4,2
ORD0000363,9/10/2020,CUST041735,SELL00059,58,5,2
ORD0000364,6/4/2023,CUST014691,SELL00599,18,4,1
ORD0000365,2/9/2023,CUST028272,SELL00617,61,1,2
ORD0000366,5/24/2021,CUST006623,SELL01655,76,1,4
ORD0000367,2/5/2024,CUST038822,SELL01044,18,4,4
ORD0000368,4/8/2020,CUST005512,SELL00448,36,4,1
ORD0000369,6/1/2020,CUST011448,SELL01856,9,4,4
ORD0000370,7/2/2022,CUST045030,SELL01711,21,3,5
ORD0000371,5/27/2022,CUST040400,SELL01563,16,1,1
ORD0000372,12/3/2020,CUST008802,SELL00818,3,2,4
ORD0000373,9/25/2024,CUST049537,SELL00883,6,1,1
ORD0000374,4/1/2022,CUST047635,SELL01324,44,6,4
ORD0000375,4/1/2023,CUST014084,SELL00456,9,5,1
ORD0000376,10/9/2024,CUST000192,SELL01651,19,1,5
ORD0000377,8/14/2022,CUST040930,SELL01183,19,2,1
ORD0000378,8/31/2024,CUST006786,SELL01483,39,2,1
ORD0000379,6/9/2020,CUST044236,SELL01385,77,1,1
ORD0000380,5/22/2024,CUST035512,SELL01500,27,5,4
ORD0000381,3/11/2022,CUST044533,SELL00759,18,3,1
ORD0000382,2/1/2021,CUST015840,SELL01631,45,3,1
ORD0000383,7/24/2023,CUST012211,SELL01115,46,3,5
ORD0000384,3/26/2022,CUST041119,SELL01804,78,4,1
ORD0000385,3/7/2024,CUST019770,SELL00409,79,4,4
ORD0000386,11/16/2023,CUST014244,SELL00575,1,1,1
ORD0000387,3/4/2023,CUST039927,SELL01900,69,6,1
ORD0000388,5/3/2023,CUST018394,SELL01626,19,2,1
ORD0000389,2/4/2021,CUST030988,SELL01240,29,4,1
ORD0000390,10/1/2021,CUST019107,SELL01610,4,2,1
ORD0000391,11/22/2022,CUST037892,SELL00120,25,1,1
ORD0000392,11/18/2021,CUST023324,SELL01083,26,2,1
ORD0000393,4/4/2021,CUST030181,SELL00224,15,6,1
ORD0000394,8/12/2022,CUST013642,SELL00724,78,1,1
ORD0000395,4/14/2021,CUST009422,SELL00544,63,2,1
ORD0000396,10/30/2023,CUST048133,SELL00733,2,1,1
ORD0000397,11/11/2022,CUST036618,SELL00841,15,4,1
ORD0000398,1/19/2022,CUST011417,SELL00871,27,6,1
ORD0000399,8/20/2024,CUST034217,SELL01965,80,1,4
ORD0000400,2/7/2020,CUST033773,SELL00957,17,3,4
ORD0000401,8/17/2020,CUST009971,SELL00494,9,4,1
ORD0000402,10/20/2023,CUST016596,SELL01723,24,1,4
ORD0000403,7/16/2021,CUST022332,SELL00972,81,2,1
ORD0000404,3/13/2021,CUST027937,SELL01794,27,4,1
ORD0000405,12/4/2024,CUST030345,SELL01607,42,1,1
ORD0000406,7/30/2023,CUST008370,SELL00321,25,4,1
ORD0000407,1/27/2020,CUST044703,SELL00965,23,6,1
ORD0000408,8/13/2020,CUST030597,SELL00578,3,1,1
ORD0000409,7/24/2023,CUST045230,SELL00469,37,3,5
ORD0000410,3/8/2022,CUST022493,SELL01115,4,4,1
ORD0000411,6/20/2024,CUST045811,SELL00918,10,2,1
ORD0000412,10/10/2020,CUST041583,SELL01411,30,4,1
ORD0000413,5/28/2022,CUST049796,SELL01914,39,4,1
ORD0000414,8/17/2022,CUST000031,SELL00299,14,1,4
ORD0000415,2/13/2024,CUST008196,SELL00087,1,2,2
ORD0000416,3/28/2021,CUST013179,SELL01252,23,1,1
ORD0000417,10/16/2022,CUST000018,SELL01599,17,4,1
ORD0000418,3/26/2022,CUST025938,SELL01174,9,4,1
ORD0000419,10/20/2021,CUST037096,SELL01193,19,6,3
ORD0000420,3/19/2024,CUST001826,SELL00616,25,2,4
ORD0000421,6/30/2021,CUST024624,SELL01136,21,3,1
ORD0000422,4/30/2023,CUST006207,SELL01523,30,5,1
ORD0000423,12/8/2022,CUST019546,SELL01974,3,6,4
ORD0000424,3/15/2024,CUST034816,SELL00307,76,5,1
ORD0000425,1/17/2020,CUST007767,SELL01588,44,1,4
ORD0000426,4/10/2023,CUST024865,SELL00168,29,4,1
ORD0000427,5/28/2023,CUST007249,SELL00806,25,6,1
ORD0000428,6/6/2020,CUST024746,SELL01990,2,1,1
ORD0000429,4/21/2021,CUST016032,SELL01534,23,4,1
ORD0000430,12/5/2022,CUST028771,SELL01343,9,2,4
ORD0000431,10/28/2023,CUST023411,SELL00997,37,4,1
ORD0000432,6/1/2021,CUST040414,SELL00468,62,6,1
ORD0000433,4/8/2020,CUST018575,SELL01204,6,4,4
ORD0000434,11/3/2024,CUST039284,SELL01676,37,5,4
ORD0000435,11/26/2022,CUST044787,SELL01254,25,3,1
